"","X","Mix_names","Compound1","Compound2","x1","Pc"
"749",901,"2-methylpentane+2-methylhexane","2-methylpentane","2-methylhexane",0.6,29.67
"750",902,"2-methylpentane+2-methylhexane","2-methylpentane","2-methylhexane",0.7,29.94
"751",903,"2-methylpentane+2-methylhexane","2-methylpentane","2-methylhexane",0.8,30.17
"752",904,"2-methylpentane+2-methylhexane","2-methylpentane","2-methylhexane",0.9,30.38
"753",905,"2-methylpentane+2-methylheptane","2-methylpentane","2-methylheptane",0.1,26.01
"754",906,"2-methylpentane+2-methylheptane","2-methylpentane","2-methylheptane",0.2,27.07
"755",907,"2-methylpentane+2-methylheptane","2-methylpentane","2-methylheptane",0.3,27.99
"756",908,"2-methylpentane+2-methylheptane","2-methylpentane","2-methylheptane",0.4,28.81
"757",909,"2-methylpentane+2-methylheptane","2-methylpentane","2-methylheptane",0.5,29.52
"758",910,"2-methylpentane+2-methylheptane","2-methylpentane","2-methylheptane",0.6,30.07
"759",911,"2-methylpentane+2-methylheptane","2-methylpentane","2-methylheptane",0.7,30.48
"760",912,"2-methylpentane+2-methylheptane","2-methylpentane","2-methylheptane",0.8,30.73
"761",913,"2-methylpentane+2-methylheptane","2-methylpentane","2-methylheptane",0.9,30.68
"762",914,"2-methylpentane+2-methyloctane","2-methylpentane","2-methyloctane",0.1,24.35
"763",915,"2-methylpentane+2-methyloctane","2-methylpentane","2-methyloctane",0.2,25.63
"764",916,"2-methylpentane+2-methyloctane","2-methylpentane","2-methyloctane",0.3,26.84
"765",917,"2-methylpentane+2-methyloctane","2-methylpentane","2-methyloctane",0.4,27.99
"766",918,"2-methylpentane+2-methyloctane","2-methylpentane","2-methyloctane",0.5,28.99
"767",919,"2-methylpentane+2-methyloctane","2-methylpentane","2-methyloctane",0.6,29.9
"768",920,"2-methylpentane+2-methyloctane","2-methylpentane","2-methyloctane",0.7,30.61
"769",921,"2-methylpentane+2-methyloctane","2-methylpentane","2-methyloctane",0.8,30.91
"770",922,"2-methylpentane+2-methyloctane","2-methylpentane","2-methyloctane",0.9,30.84
"771",923,"2-methylhexane+2-methylheptane","2-methylhexane","2-methylheptane",0.1,25.39
"772",924,"2-methylhexane+2-methylheptane","2-methylhexane","2-methylheptane",0.2,25.76
"773",925,"2-methylhexane+2-methylheptane","2-methylhexane","2-methylheptane",0.3,26.08
"774",926,"2-methylhexane+2-methylheptane","2-methylhexane","2-methylheptane",0.4,26.37
"775",927,"2-methylhexane+2-methylheptane","2-methylhexane","2-methylheptane",0.5,26.64
"776",928,"2-methylhexane+2-methylheptane","2-methylhexane","2-methylheptane",0.6,26.89
"777",929,"2-methylhexane+2-methylheptane","2-methylhexane","2-methylheptane",0.7,27.12
"778",930,"2-methylhexane+2-methylheptane","2-methylhexane","2-methylheptane",0.8,27.31
"779",931,"2-methylhexane+2-methylheptane","2-methylhexane","2-methylheptane",0.9,27.46
"780",932,"2-methylhexane+2-methyloctane","2-methylhexane","2-methyloctane",0.1,23.81
"781",933,"2-methylhexane+2-methyloctane","2-methylhexane","2-methyloctane",0.2,24.44
"782",934,"2-methylhexane+2-methyloctane","2-methylhexane","2-methyloctane",0.3,25.06
"783",935,"2-methylhexane+2-methyloctane","2-methylhexane","2-methyloctane",0.4,25.64
"784",936,"2-methylhexane+2-methyloctane","2-methylhexane","2-methyloctane",0.5,26.14
"785",937,"2-methylhexane+2-methyloctane","2-methylhexane","2-methyloctane",0.6,26.6
"786",938,"2-methylhexane+2-methyloctane","2-methylhexane","2-methyloctane",0.7,27
"787",939,"2-methylhexane+2-methyloctane","2-methylhexane","2-methyloctane",0.8,27.32
"788",940,"2-methylhexane+2-methyloctane","2-methylhexane","2-methyloctane",0.9,27.49
"789",941,"2-methylheptane+2-methyloctane","2-methylheptane","2-methyloctane",0.1,23.43
"790",942,"2-methylheptane+2-methyloctane","2-methylheptane","2-methyloctane",0.2,23.75
"791",943,"2-methylheptane+2-methyloctane","2-methylheptane","2-methyloctane",0.3,24.04
"792",944,"2-methylheptane+2-methyloctane","2-methylheptane","2-methyloctane",0.4,24.3
"793",945,"2-methylheptane+2-methyloctane","2-methylheptane","2-methyloctane",0.5,24.55
"794",946,"2-methylheptane+2-methyloctane","2-methylheptane","2-methyloctane",0.6,24.76
"795",947,"2-methylheptane+2-methyloctane","2-methylheptane","2-methyloctane",0.7,24.94
"796",948,"2-methylheptane+2-methyloctane","2-methylheptane","2-methyloctane",0.8,25.06
"797",949,"2-methylheptane+2-methyloctane","2-methylheptane","2-methyloctane",0.9,25.1
"798",950,"ethene+prop-1-ene","ethene","prop-1-ene",0.117,48.3
"799",951,"ethene+prop-1-ene","ethene","prop-1-ene",0.256,50.4
"800",952,"ethene+prop-1-ene","ethene","prop-1-ene",0.384,52.3
"801",953,"ethene+prop-1-ene","ethene","prop-1-ene",0.494,53.6
"802",954,"ethene+prop-1-ene","ethene","prop-1-ene",0.625,54.7
"803",955,"ethene+prop-1-ene","ethene","prop-1-ene",0.759,54.4
"804",956,"ethene+prop-1-ene","ethene","prop-1-ene",0.914,52.7
"805",957,"ethene+acetylene","ethene","acetylene",0.54,56.7
"806",958,"ethene+acetylene","ethene","acetylene",0.7,56.6
"807",959,"ethene+acetylene","ethene","acetylene",0.82,52.3
"808",960,"prop-1-ene+but-1-ene","prop-1-ene","but-1-ene",0.217,43.5
"809",961,"prop-1-ene+but-1-ene","prop-1-ene","but-1-ene",0.551,46.6
"810",962,"prop-1-ene+but-1-ene","prop-1-ene","but-1-ene",0.824,47
"811",963,"prop-1-ene+acetylene","prop-1-ene","acetylene",0.114,62.7
"812",964,"prop-1-ene+acetylene","prop-1-ene","acetylene",0.307,63.4
"813",965,"prop-1-ene+acetylene","prop-1-ene","acetylene",0.506,63.2
"814",966,"prop-1-ene+acetylene","prop-1-ene","acetylene",0.788,59
"815",967,"prop-1-ene+acetylene","prop-1-ene","acetylene",0.885,54.4
"816",972,"benzene+cyclopentane","benzene","cyclopentane",0.9,49.03
"817",973,"benzene+cyclopentane","benzene","cyclopentane",0.8,48.75
"818",974,"benzene+cyclopentane","benzene","cyclopentane",0.7,48.36
"819",975,"benzene+cyclopentane","benzene","cyclopentane",0.6,47.97
"820",976,"benzene+cyclopentane","benzene","cyclopentane",0.5,47.55
"821",977,"benzene+cyclopentane","benzene","cyclopentane",0.4,47.1
"822",978,"benzene+cyclopentane","benzene","cyclopentane",0.3,46.64
"823",979,"benzene+cyclopentane","benzene","cyclopentane",0.2,46.14
"824",980,"benzene+cyclopentane","benzene","cyclopentane",0.1,45.66
"825",1002,"benzene+cyclohexane","benzene","cyclohexane",0.1,41.45
"826",1003,"benzene+cyclohexane","benzene","cyclohexane",0.2,42.09
"827",1004,"benzene+cyclohexane","benzene","cyclohexane",0.3,42.82
"828",1005,"benzene+cyclohexane","benzene","cyclohexane",0.4,43.55
"829",1006,"benzene+cyclohexane","benzene","cyclohexane",0.5,44.32
"830",1007,"benzene+cyclohexane","benzene","cyclohexane",0.6,45.12
"831",1008,"benzene+cyclohexane","benzene","cyclohexane",0.7,45.97
"832",1009,"benzene+cyclohexane","benzene","cyclohexane",0.8,46.93
"833",1010,"benzene+cyclohexane","benzene","cyclohexane",0.9,47.97
"834",1011,"benzene+methylcyclopentane","benzene","methylcyclopentane",0.1,38.79
"835",1012,"benzene+methylcyclopentane","benzene","methylcyclopentane",0.2,39.69
"836",1013,"benzene+methylcyclopentane","benzene","methylcyclopentane",0.3,40.63
"837",1014,"benzene+methylcyclopentane","benzene","methylcyclopentane",0.4,41.59
"838",1015,"benzene+methylcyclopentane","benzene","methylcyclopentane",0.5,42.62
"839",1016,"benzene+methylcyclopentane","benzene","methylcyclopentane",0.6,43.71
"840",1017,"benzene+methylcyclopentane","benzene","methylcyclopentane",0.7,44.91
"841",1018,"benzene+methylcyclopentane","benzene","methylcyclopentane",0.8,46.24
"842",1019,"benzene+methylcyclopentane","benzene","methylcyclopentane",0.9,47.65
"843",1020,"benzene+methylcyclohexane","benzene","methylcyclohexane",0.1,39.16
"844",1021,"benzene+methylcyclohexane","benzene","methylcyclohexane",0.2,37.34
"845",1022,"benzene+methylcyclohexane","benzene","methylcyclohexane",0.3,38.56
"846",1023,"benzene+methylcyclohexane","benzene","methylcyclohexane",0.4,39.84
"847",1024,"benzene+methylcyclohexane","benzene","methylcyclohexane",0.5,41.18
"848",1025,"benzene+methylcyclohexane","benzene","methylcyclohexane",0.6,42.57
"849",1026,"benzene+methylcyclohexane","benzene","methylcyclohexane",0.7,44.04
"850",1027,"benzene+methylcyclohexane","benzene","methylcyclohexane",0.8,45.62
"851",1028,"benzene+methylcyclohexane","benzene","methylcyclohexane",0.9,47.28
"852",1029,"benzene+ethene","benzene","ethene",0.06,64.3
"853",1030,"benzene+ethene","benzene","ethene",0.24,90.5
"854",1031,"benzene+ethene","benzene","ethene",0.348,98
"855",1032,"benzene+ethene","benzene","ethene",0.534,96.1
"856",1033,"benzene+ethene","benzene","ethene",0.756,69.7
"857",1053,"benzene+toluene","benzene","toluene",0.1,42
"858",1054,"benzene+toluene","benzene","toluene",0.2,42.83
"859",1055,"benzene+toluene","benzene","toluene",0.3,43.64
"860",1056,"benzene+toluene","benzene","toluene",0.4,44.45
"861",1057,"benzene+toluene","benzene","toluene",0.5,45.24
"862",1058,"benzene+toluene","benzene","toluene",0.6,46.02
"863",1059,"benzene+toluene","benzene","toluene",0.7,46.81
"864",1060,"benzene+toluene","benzene","toluene",0.8,47.59
"865",1061,"benzene+toluene","benzene","toluene",0.9,48.36
"866",1062,"benzene+ethylbenzene","benzene","ethylbenzene",0.1,37.67
"867",1063,"benzene+ethylbenzene","benzene","ethylbenzene",0.2,39.2
"868",1064,"benzene+ethylbenzene","benzene","ethylbenzene",0.3,40.65
"869",1065,"benzene+ethylbenzene","benzene","ethylbenzene",0.4,42.08
"870",1066,"benzene+ethylbenzene","benzene","ethylbenzene",0.5,43.5
"871",1067,"benzene+ethylbenzene","benzene","ethylbenzene",0.6,44.86
"872",1068,"benzene+ethylbenzene","benzene","ethylbenzene",0.7,46.1
"873",1069,"benzene+ethylbenzene","benzene","ethylbenzene",0.8,47.25
"874",1070,"benzene+ethylbenzene","benzene","ethylbenzene",0.9,48.23
"875",1071,"benzene+1,2-xylene","benzene","1,2-xylene",0.1,38.81
"876",1072,"benzene+1,2-xylene","benzene","1,2-xylene",0.2,40.37
"877",1073,"benzene+1,2-xylene","benzene","1,2-xylene",0.3,41.81
"878",1074,"benzene+1,2-xylene","benzene","1,2-xylene",0.4,43.2
"879",1075,"benzene+1,2-xylene","benzene","1,2-xylene",0.5,44.54
"880",1076,"benzene+1,2-xylene","benzene","1,2-xylene",0.6,45.82
"881",1077,"benzene+1,2-xylene","benzene","1,2-xylene",0.7,46.96
"882",1078,"benzene+1,2-xylene","benzene","1,2-xylene",0.8,47.94
"883",1079,"benzene+1,2-xylene","benzene","1,2-xylene",0.9,48.65
"884",1080,"benzene+naphthalene","benzene","naphthalene",0.318,346
"885",1081,"benzene+naphthalene","benzene","naphthalene",0.527,307
"886",1082,"benzene+naphthalene","benzene","naphthalene",0.542,302
"887",1083,"benzene+naphthalene","benzene","naphthalene",0.758,272
"888",1084,"benzene+naphthalene","benzene","naphthalene",0.826,282
"889",1085,"benzene+naphthalene","benzene","naphthalene",0.857,271
"890",1086,"benzene+naphthalene","benzene","naphthalene",0.321,345
"891",1087,"benzene+naphthalene","benzene","naphthalene",0.659,298
"892",1088,"benzene+naphthalene","benzene","naphthalene",0.68,291
"893",1089,"benzene+naphthalene","benzene","naphthalene",0.896,257
"894",1090,"benzene+naphthalene","benzene","naphthalene",0.901,257
"895",1096,"toluene+ethylbenzene","toluene","ethylbenzene",0.1,36.66
"896",1097,"toluene+ethylbenzene","toluene","ethylbenzene",0.2,37.19
"897",1098,"toluene+ethylbenzene","toluene","ethylbenzene",0.3,37.75
"898",1099,"toluene+ethylbenzene","toluene","ethylbenzene",0.4,38.32
"899",1100,"toluene+ethylbenzene","toluene","ethylbenzene",0.5,38.86
"900",1101,"toluene+ethylbenzene","toluene","ethylbenzene",0.6,39.37
"901",1102,"toluene+ethylbenzene","toluene","ethylbenzene",0.7,39.83
"902",1103,"toluene+ethylbenzene","toluene","ethylbenzene",0.8,40.26
"903",1104,"toluene+ethylbenzene","toluene","ethylbenzene",0.9,40.7
"904",1105,"toluene+1,2-xylene","toluene","1,2-xylene",0.1,37.72
"905",1106,"toluene+1,2-xylene","toluene","1,2-xylene",0.2,38.26
"906",1107,"toluene+1,2-xylene","toluene","1,2-xylene",0.3,38.75
"907",1108,"toluene+1,2-xylene","toluene","1,2-xylene",0.4,39.2
"908",1109,"toluene+1,2-xylene","toluene","1,2-xylene",0.5,39.63
"909",1110,"toluene+1,2-xylene","toluene","1,2-xylene",0.6,40.02
"910",1111,"toluene+1,2-xylene","toluene","1,2-xylene",0.7,40.39
"911",1112,"toluene+1,2-xylene","toluene","1,2-xylene",0.8,40.72
"912",1113,"toluene+1,2-xylene","toluene","1,2-xylene",0.9,41.02
"913",1114,"1,2-xylene+ethylbenzene","1,2-xylene","ethylbenzene",0.1,36.26
"914",1115,"1,2-xylene+ethylbenzene","1,2-xylene","ethylbenzene",0.2,36.37
"915",1116,"1,2-xylene+ethylbenzene","1,2-xylene","ethylbenzene",0.3,36.47
"916",1117,"1,2-xylene+ethylbenzene","1,2-xylene","ethylbenzene",0.4,36.58
"917",1118,"1,2-xylene+ethylbenzene","1,2-xylene","ethylbenzene",0.5,36.68
"918",1119,"1,2-xylene+ethylbenzene","1,2-xylene","ethylbenzene",0.6,36.78
"919",1120,"1,2-xylene+ethylbenzene","1,2-xylene","ethylbenzene",0.7,36.88
"920",1121,"1,2-xylene+ethylbenzene","1,2-xylene","ethylbenzene",0.8,36.97
"921",1122,"1,2-xylene+ethylbenzene","1,2-xylene","ethylbenzene",0.9,37.06
"922",1123,"naphthalene+cyclohexane","naphthalene","cyclohexane",0.215,303
"923",1124,"naphthalene+cyclohexane","naphthalene","cyclohexane",0.245,323
"924",1125,"naphthalene+cyclohexane","naphthalene","cyclohexane",0.308,316
"925",1126,"naphthalene+cyclohexane","naphthalene","cyclohexane",0.414,349
"926",1127,"naphthalene+cyclohexane","naphthalene","cyclohexane",0.54,345
"927",1128,"naphthalene+ethene","naphthalene","ethene",0.17,176.3
"928",1129,"naphthalene+ethene","naphthalene","ethene",0.17,183.3
"929",1130,"naphthalene+ethene","naphthalene","ethene",0.17,192.8
"930",1131,"naphthalene+ethene","naphthalene","ethene",0.17,202
"931",1132,"naphthalene+ethene","naphthalene","ethene",0.1851,236.1
"932",1133,"naphthalene+ethene","naphthalene","ethene",0.22,247.2
"933",1134,"naphthalene+ethene","naphthalene","ethene",0.2886,230
"934",1135,"benzene+phenanthrene","benzene","phenanthrene",0.709,289
"935",1136,"benzene+phenanthrene","benzene","phenanthrene",0.734,284
"936",1137,"benzene+phenanthrene","benzene","phenanthrene",0.849,256
"937",1138,"benzene+phenanthrene","benzene","phenanthrene",0.893,269
"938",1139,"benzene+phenanthrene","benzene","phenanthrene",0.894,247
"939",1140,"benzene+anthracene","benzene","anthracene",0.897,254
"940",1141,"benzene+anthracene","benzene","anthracene",0.913,256
"941",1142,"benzene+anthracene","benzene","anthracene",0.936,260
"942",1143,"benzene+anthracene","benzene","anthracene",0.952,245
"943",1144,"propane+octafluoropropane","propane","octafluoropropane",0.1162,27.72
"944",1145,"propane+octafluoropropane","propane","octafluoropropane",0.3233,29.33
"945",1146,"propane+octafluoropropane","propane","octafluoropropane",0.4263,30.25
"946",1147,"propane+octafluoropropane","propane","octafluoropropane",0.5235,31.33
"947",1148,"propane+octafluoropropane","propane","octafluoropropane",0.706,34.54
"948",1149,"propane+octafluoropropane","propane","octafluoropropane",0.9074,39.94
"949",1150,"propane+tetradecafluorohexane","propane","tetradecafluorohexane",0.1225,22.07
"950",1151,"propane+tetradecafluorohexane","propane","tetradecafluorohexane",0.3287,28.26
"951",1152,"propane+tetradecafluorohexane","propane","tetradecafluorohexane",0.5781,35.63
"952",1153,"propane+tetradecafluorohexane","propane","tetradecafluorohexane",0.7345,37.87
"953",1154,"propane+tetradecafluorohexane","propane","tetradecafluorohexane",0.8695,38.84
"954",1155,"propane+tetradecafluorohexane","propane","tetradecafluorohexane",0.9088,39.46
"955",1156,"propane+hexafluorobenzene","propane","hexafluorobenzene",0.1008,36.78
"956",1157,"propane+hexafluorobenzene","propane","hexafluorobenzene",0.3027,43.66
"957",1158,"propane+hexafluorobenzene","propane","hexafluorobenzene",0.5319,50.72
"958",1159,"propane+hexafluorobenzene","propane","hexafluorobenzene",0.7314,51.54
"959",1160,"propane+hexafluorobenzene","propane","hexafluorobenzene",0.9083,46.43
"960",1161,"propane+hexafluoropropan-2-one","propane","hexafluoropropan-2-one",0.124,29.69
"961",1162,"propane+hexafluoropropan-2-one","propane","hexafluoropropan-2-one",0.3194,31.21
"962",1163,"propane+hexafluoropropan-2-one","propane","hexafluoropropan-2-one",0.4437,32.14
"963",1164,"propane+hexafluoropropan-2-one","propane","hexafluoropropan-2-one",0.7047,35.75
"964",1165,"propane+hexafluoropropan-2-one","propane","hexafluoropropan-2-one",0.8573,39.1
"965",1166,"propane+trifluoroacetonitrile","propane","trifluoroacetonitrile",0.1182,36.14
"966",1167,"propane+trifluoroacetonitrile","propane","trifluoroacetonitrile",0.334,36.3
"967",1168,"propane+trifluoroacetonitrile","propane","trifluoroacetonitrile",0.5504,40.69
"968",1169,"propane+trifluoroacetonitrile","propane","trifluoroacetonitrile",0.713,42.51
"969",1170,"propane+trifluoroacetonitrile","propane","trifluoroacetonitrile",0.8435,43.14
"970",1171,"hexane+tetradecafluorohexane","hexane","tetradecafluorohexane",0.1012,18.88
"971",1172,"hexane+tetradecafluorohexane","hexane","tetradecafluorohexane",0.3352,20.24
"972",1173,"hexane+tetradecafluorohexane","hexane","tetradecafluorohexane",0.5018,21.97
"973",1174,"hexane+tetradecafluorohexane","hexane","tetradecafluorohexane",0.6242,23.98
"974",1175,"hexane+tetradecafluorohexane","hexane","tetradecafluorohexane",0.902,29.16
"975",1176,"(trifluoromethyl)cyclohexane+hexane","(trifluoromethyl)cyclohexane","hexane",0.8172,21.56
"976",1177,"(trifluoromethyl)cyclohexane+hexane","(trifluoromethyl)cyclohexane","hexane",0.6604,22.18
"977",1178,"(trifluoromethyl)cyclohexane+hexane","(trifluoromethyl)cyclohexane","hexane",0.483,23.31
"978",1179,"(trifluoromethyl)cyclohexane+hexane","(trifluoromethyl)cyclohexane","hexane",0.3342,24.81
"979",1180,"(trifluoromethyl)cyclohexane+hexane","(trifluoromethyl)cyclohexane","hexane",0.1732,27.55
"980",1181,"(trifluoromethyl)cyclohexane+2-methylpentane","(trifluoromethyl)cyclohexane","2-methylpentane",0.798,21.7
"981",1182,"(trifluoromethyl)cyclohexane+2-methylpentane","(trifluoromethyl)cyclohexane","2-methylpentane",0.6087,22.72
"982",1183,"(trifluoromethyl)cyclohexane+2-methylpentane","(trifluoromethyl)cyclohexane","2-methylpentane",0.4104,24.26
"983",1184,"(trifluoromethyl)cyclohexane+2-methylpentane","(trifluoromethyl)cyclohexane","2-methylpentane",0.3077,25.25
"984",1185,"(trifluoromethyl)cyclohexane+2-methylpentane","(trifluoromethyl)cyclohexane","2-methylpentane",0.2059,26.52
"985",1186,"(trifluoromethyl)cyclohexane+2-methylpentane","(trifluoromethyl)cyclohexane","2-methylpentane",0.0913,28.64
"986",1187,"(trifluoromethyl)cyclohexane+3-methylpentane","(trifluoromethyl)cyclohexane","3-methylpentane",0.7951,21.78
"987",1188,"(trifluoromethyl)cyclohexane+3-methylpentane","(trifluoromethyl)cyclohexane","3-methylpentane",0.5869,23.16
"988",1189,"(trifluoromethyl)cyclohexane+3-methylpentane","(trifluoromethyl)cyclohexane","3-methylpentane",0.4045,24.76
"989",1190,"(trifluoromethyl)cyclohexane+3-methylpentane","(trifluoromethyl)cyclohexane","3-methylpentane",0.2952,25.93
"990",1191,"(trifluoromethyl)cyclohexane+3-methylpentane","(trifluoromethyl)cyclohexane","3-methylpentane",0.2062,27.49
"991",1192,"(trifluoromethyl)cyclohexane+3-methylpentane","(trifluoromethyl)cyclohexane","3-methylpentane",0.0855,29.64
"992",1193,"(trifluoromethyl)cyclohexane+2,3-dimethylbutane","(trifluoromethyl)cyclohexane","2,3-dimethylbutane",0.8173,21.82
"993",1194,"(trifluoromethyl)cyclohexane+2,3-dimethylbutane","(trifluoromethyl)cyclohexane","2,3-dimethylbutane",0.593,23.21
"994",1195,"(trifluoromethyl)cyclohexane+2,3-dimethylbutane","(trifluoromethyl)cyclohexane","2,3-dimethylbutane",0.4417,24.32
"995",1196,"(trifluoromethyl)cyclohexane+2,3-dimethylbutane","(trifluoromethyl)cyclohexane","2,3-dimethylbutane",0.2875,26.1
"996",1197,"(trifluoromethyl)cyclohexane+2,3-dimethylbutane","(trifluoromethyl)cyclohexane","2,3-dimethylbutane",0.203,27.65
"997",1198,"(trifluoromethyl)cyclohexane+2,3-dimethylbutane","(trifluoromethyl)cyclohexane","2,3-dimethylbutane",0.1078,29.61
"998",1199,"(trifluoromethyl)cyclohexane+2,2-dimethylbutane","(trifluoromethyl)cyclohexane","2,2-dimethylbutane",0.833,21.69
"999",1200,"(trifluoromethyl)cyclohexane+2,2-dimethylbutane","(trifluoromethyl)cyclohexane","2,2-dimethylbutane",0.6353,23
"1000",1201,"(trifluoromethyl)cyclohexane+2,2-dimethylbutane","(trifluoromethyl)cyclohexane","2,2-dimethylbutane",0.4025,24.71
"1001",1202,"(trifluoromethyl)cyclohexane+2,2-dimethylbutane","(trifluoromethyl)cyclohexane","2,2-dimethylbutane",0.2943,25.85
"1002",1203,"(trifluoromethyl)cyclohexane+2,2-dimethylbutane","(trifluoromethyl)cyclohexane","2,2-dimethylbutane",0.2056,27.17
"1003",1204,"(trifluoromethyl)cyclohexane+2,2-dimethylbutane","(trifluoromethyl)cyclohexane","2,2-dimethylbutane",0.0848,29.3
"1004",1282,"hexafluorobenzene+hexane","hexafluorobenzene","hexane",0.9187,32.5
"1005",1283,"hexafluorobenzene+hexane","hexafluorobenzene","hexane",0.7039,31.49
"1006",1284,"hexafluorobenzene+hexane","hexafluorobenzene","hexane",0.4929,30.89
"1007",1285,"hexafluorobenzene+hexane","hexafluorobenzene","hexane",0.3459,30.59
"1008",1286,"hexafluorobenzene+hexane","hexafluorobenzene","hexane",0.1125,30.5
"1009",1390,"hexadecafluoroheptane+ethane","hexadecafluoroheptane","ethane",0.109,61.69
"1010",1391,"hexadecafluoroheptane+ethane","hexadecafluoroheptane","ethane",0.286,65.91
"1011",1392,"hexadecafluoroheptane+ethane","hexadecafluoroheptane","ethane",0.479,55.46
"1012",1393,"hexadecafluoroheptane+ethane","hexadecafluoroheptane","ethane",0.739,31.78
"1013",1394,"hexadecafluoroheptane+ethane","hexadecafluoroheptane","ethane",0.897,22.03
"1014",1395,"hexadecafluoroheptane+propane","hexadecafluoroheptane","propane",0.092,21.98
"1015",1396,"hexadecafluoroheptane+propane","hexadecafluoroheptane","propane",0.191,41.23
"1016",1397,"hexadecafluoroheptane+propane","hexadecafluoroheptane","propane",0.28,41.03
"1017",1398,"hexadecafluoroheptane+propane","hexadecafluoroheptane","propane",0.485,36.55
"1018",1399,"hexadecafluoroheptane+propane","hexadecafluoroheptane","propane",0.688,30.25
"1019",1400,"hexadecafluoroheptane+propane","hexadecafluoroheptane","propane",0.906,21.98
"1020",1401,"hexadecafluoroheptane+butane","hexadecafluoroheptane","butane",0.084,33.56
"1021",1402,"hexadecafluoroheptane+butane","hexadecafluoroheptane","butane",0.323,29.87
"1022",1403,"hexadecafluoroheptane+butane","hexadecafluoroheptane","butane",0.538,26.74
"1023",1404,"hexadecafluoroheptane+butane","hexadecafluoroheptane","butane",0.691,23.86
"1024",1405,"hexadecafluoroheptane+butane","hexadecafluoroheptane","butane",0.87,19.74
"1025",1406,"hexadecafluoroheptane+pentane","hexadecafluoroheptane","pentane",0.087,30.35
"1026",1407,"hexadecafluoroheptane+pentane","hexadecafluoroheptane","pentane",0.223,28.08
"1027",1408,"hexadecafluoroheptane+pentane","hexadecafluoroheptane","pentane",0.39,25.11
"1028",1409,"hexadecafluoroheptane+pentane","hexadecafluoroheptane","pentane",0.465,24.54
"1029",1410,"hexadecafluoroheptane+pentane","hexadecafluoroheptane","pentane",0.709,21.61
"1030",1411,"hexadecafluoroheptane+hexane","hexadecafluoroheptane","hexane",0.096,27.87
"1031",1412,"hexadecafluoroheptane+hexane","hexadecafluoroheptane","hexane",0.166,26.93
"1032",1413,"hexadecafluoroheptane+hexane","hexadecafluoroheptane","hexane",0.338,23.29
"1033",1414,"hexadecafluoroheptane+hexane","hexadecafluoroheptane","hexane",0.474,21.83
"1034",1415,"hexadecafluoroheptane+hexane","hexadecafluoroheptane","hexane",0.621,19.71
"1035",1416,"hexadecafluoroheptane+hexane","hexadecafluoroheptane","hexane",0.706,19.59
"1036",1417,"hexadecafluoroheptane+hexane","hexadecafluoroheptane","hexane",0.87,18.99
"1037",1418,"hexadecafluoroheptane+heptane","hexadecafluoroheptane","heptane",0.096,26.3
"1038",1419,"hexadecafluoroheptane+heptane","hexadecafluoroheptane","heptane",0.53,19.69
"1039",1420,"hexadecafluoroheptane+heptane","hexadecafluoroheptane","heptane",0.638,18.77
"1040",1421,"hexadecafluoroheptane+heptane","hexadecafluoroheptane","heptane",0.768,18.31
"1041",1422,"hexadecafluoroheptane+heptane","hexadecafluoroheptane","heptane",0.822,18.06
"1042",1423,"hexadecafluoroheptane+heptane","hexadecafluoroheptane","heptane",0.857,17.75
"1043",1424,"hexadecafluoroheptane+heptane","hexadecafluoroheptane","heptane",0.9,17.46
"1044",1425,"hexadecafluoroheptane+octane","hexadecafluoroheptane","octane",0.099,24.98
"1045",1426,"hexadecafluoroheptane+octane","hexadecafluoroheptane","octane",0.424,20.86
"1046",1427,"hexadecafluoroheptane+octane","hexadecafluoroheptane","octane",0.47,20.75
"1047",1428,"hexadecafluoroheptane+octane","hexadecafluoroheptane","octane",0.525,19.75
"1048",1429,"hexadecafluoroheptane+octane","hexadecafluoroheptane","octane",0.724,18.32
"1049",1430,"hexadecafluoroheptane+octane","hexadecafluoroheptane","octane",0.946,17.5
"1050",1431,"hexadecafluoroheptane+nonane","hexadecafluoroheptane","nonane",0.157,24.28
"1051",1432,"hexadecafluoroheptane+nonane","hexadecafluoroheptane","nonane",0.263,23.79
"1052",1433,"hexadecafluoroheptane+nonane","hexadecafluoroheptane","nonane",0.471,21.55
"1053",1434,"hexadecafluoroheptane+nonane","hexadecafluoroheptane","nonane",0.652,19.78
"1054",1435,"hexadecafluoroheptane+nonane","hexadecafluoroheptane","nonane",0.868,17.56
"1055",1436,"tetrafluoromethane+trifluoromethane","tetrafluoromethane","trifluoromethane",0.21,50
"1056",1437,"tetrafluoromethane+trifluoromethane","tetrafluoromethane","trifluoromethane",0.51,48
"1057",1438,"ethene+ethanol","ethene","ethanol",0.175,82
"1058",1439,"ethene+ethanol","ethene","ethanol",0.3,99
"1059",1440,"ethene+ethanol","ethene","ethanol",0.35,106
"1060",1441,"ethene+ethanol","ethene","ethanol",0.44,120
"1061",1442,"ethene+ethanol","ethene","ethanol",0.575,129
"1062",1443,"benzene+methanol","benzene","methanol",0.1064,78.83
"1063",1444,"benzene+methanol","benzene","methanol",0.3056,75.5
"1064",1445,"benzene+methanol","benzene","methanol",0.4946,72.74
"1065",1446,"benzene+methanol","benzene","methanol",0.6894,66.22
"1066",1447,"benzene+methanol","benzene","methanol",0.8894,56.1
"1067",1448,"benzene+methanol","benzene","methanol",0.25,76.5
"1068",1449,"benzene+methanol","benzene","methanol",0.5,62.6
