"","Mix_names","Compound1","Compound2","x1","Tc"
"m1268_hexafluorobenzene+pentane","hexafluorobenzene+pentane","hexafluorobenzene","pentane",0.2143,471.2
"m1269_hexafluorobenzene+pentane","hexafluorobenzene+pentane","hexafluorobenzene","pentane",0.3202,472.8
"m1270_hexafluorobenzene+pentane","hexafluorobenzene+pentane","hexafluorobenzene","pentane",0.3672,475.6
"m1271_hexafluorobenzene+pentane","hexafluorobenzene+pentane","hexafluorobenzene","pentane",0.4192,477.2
"m1272_hexafluorobenzene+pentane","hexafluorobenzene+pentane","hexafluorobenzene","pentane",0.6576,489
"m1273_hexafluorobenzene+pentane","hexafluorobenzene+pentane","hexafluorobenzene","pentane",0.7146,496
"m1274_hexafluorobenzene+pentane","hexafluorobenzene+pentane","hexafluorobenzene","pentane",0.8145,504.6
"m1275_hexafluorobenzene+pentane","hexafluorobenzene+pentane","hexafluorobenzene","pentane",0.8317,505.4
"m1276_hexafluorobenzene+pentane","hexafluorobenzene+pentane","hexafluorobenzene","pentane",0.9099,510.6
"m1277_hexafluorobenzene+hexane","hexafluorobenzene+hexane","hexafluorobenzene","hexane",0.2337,502.3
"m1278_hexafluorobenzene+hexane","hexafluorobenzene+hexane","hexafluorobenzene","hexane",0.4654,500.4
"m1279_hexafluorobenzene+hexane","hexafluorobenzene+hexane","hexafluorobenzene","hexane",0.5743,502.3
"m1280_hexafluorobenzene+hexane","hexafluorobenzene+hexane","hexafluorobenzene","hexane",0.8166,507.5
"m1281_hexafluorobenzene+hexane","hexafluorobenzene+hexane","hexafluorobenzene","hexane",0.8958,511.5
"m1282_hexafluorobenzene+hexane","hexafluorobenzene+hexane","hexafluorobenzene","hexane",0.9187,513.79
"m1283_hexafluorobenzene+hexane","hexafluorobenzene+hexane","hexafluorobenzene","hexane",0.7039,506.65
"m1284_hexafluorobenzene+hexane","hexafluorobenzene+hexane","hexafluorobenzene","hexane",0.4929,502.8
"m1285_hexafluorobenzene+hexane","hexafluorobenzene+hexane","hexafluorobenzene","hexane",0.3459,502.31
"m1286_hexafluorobenzene+hexane","hexafluorobenzene+hexane","hexafluorobenzene","hexane",0.1125,505
"m1287_hexafluorobenzene+heptane","hexafluorobenzene+heptane","hexafluorobenzene","heptane",0.2213,530.2
"m1288_hexafluorobenzene+heptane","hexafluorobenzene+heptane","hexafluorobenzene","heptane",0.3569,522.6
"m1289_hexafluorobenzene+heptane","hexafluorobenzene+heptane","hexafluorobenzene","heptane",0.4669,521.1
"m1290_hexafluorobenzene+heptane","hexafluorobenzene+heptane","hexafluorobenzene","heptane",0.5837,516.2
"m1291_hexafluorobenzene+heptane","hexafluorobenzene+heptane","hexafluorobenzene","heptane",0.6228,515.6
"m1292_hexafluorobenzene+heptane","hexafluorobenzene+heptane","hexafluorobenzene","heptane",0.8623,516.9
"m1293_hexafluorobenzene+heptane","hexafluorobenzene+heptane","hexafluorobenzene","heptane",0.9505,516.7
"m1294_hexafluorobenzene+octane","hexafluorobenzene+octane","hexafluorobenzene","octane",0.2384,555.2
"m1295_hexafluorobenzene+octane","hexafluorobenzene+octane","hexafluorobenzene","octane",0.2973,550
"m1296_hexafluorobenzene+octane","hexafluorobenzene+octane","hexafluorobenzene","octane",0.4277,540.2
"m1297_hexafluorobenzene+octane","hexafluorobenzene+octane","hexafluorobenzene","octane",0.5396,533.7
"m1298_hexafluorobenzene+octane","hexafluorobenzene+octane","hexafluorobenzene","octane",0.7228,524.1
"m1299_hexafluorobenzene+octane","hexafluorobenzene+octane","hexafluorobenzene","octane",0.7734,521.2
"m1300_hexafluorobenzene+octane","hexafluorobenzene+octane","hexafluorobenzene","octane",0.7859,521.2
"m1301_hexafluorobenzene+octane","hexafluorobenzene+octane","hexafluorobenzene","octane",0.8851,519.8
"m1302_hexafluorobenzene+nonane","hexafluorobenzene+nonane","hexafluorobenzene","nonane",0.254,576.5
"m1303_hexafluorobenzene+nonane","hexafluorobenzene+nonane","hexafluorobenzene","nonane",0.3408,567.7
"m1304_hexafluorobenzene+nonane","hexafluorobenzene+nonane","hexafluorobenzene","nonane",0.5074,551.2
"m1305_hexafluorobenzene+nonane","hexafluorobenzene+nonane","hexafluorobenzene","nonane",0.5912,544
"m1306_hexafluorobenzene+nonane","hexafluorobenzene+nonane","hexafluorobenzene","nonane",0.7968,528.2
"m1307_hexafluorobenzene+nonane","hexafluorobenzene+nonane","hexafluorobenzene","nonane",0.85,524.5
"m1308_hexafluorobenzene+nonane","hexafluorobenzene+nonane","hexafluorobenzene","nonane",0.8711,521.8
"m1309_hexafluorobenzene+decane","hexafluorobenzene+decane","hexafluorobenzene","decane",0.3027,590.2
"m1310_hexafluorobenzene+decane","hexafluorobenzene+decane","hexafluorobenzene","decane",0.3729,583.5
"m1311_hexafluorobenzene+decane","hexafluorobenzene+decane","hexafluorobenzene","decane",0.405,580.4
"m1312_hexafluorobenzene+decane","hexafluorobenzene+decane","hexafluorobenzene","decane",0.5433,567.5
"m1313_hexafluorobenzene+decane","hexafluorobenzene+decane","hexafluorobenzene","decane",0.6574,555.5
"m1314_hexafluorobenzene+decane","hexafluorobenzene+decane","hexafluorobenzene","decane",0.6961,545.6
"m1315_hexafluorobenzene+decane","hexafluorobenzene+decane","hexafluorobenzene","decane",0.7208,544
"m1316_hexafluorobenzene+decane","hexafluorobenzene+decane","hexafluorobenzene","decane",0.826,530.5
"m1317_hexafluorobenzene+decane","hexafluorobenzene+decane","hexafluorobenzene","decane",0.8754,527.5
"m1318_hexafluorobenzene+decane","hexafluorobenzene+decane","hexafluorobenzene","decane",0.9044,526.5
"m1319_hexafluorobenzene+dodecane","hexafluorobenzene+dodecane","hexafluorobenzene","dodecane",0.2244,634.2
"m1320_hexafluorobenzene+dodecane","hexafluorobenzene+dodecane","hexafluorobenzene","dodecane",0.4888,602
"m1321_hexafluorobenzene+dodecane","hexafluorobenzene+dodecane","hexafluorobenzene","dodecane",0.5819,586.4
"m1322_hexafluorobenzene+dodecane","hexafluorobenzene+dodecane","hexafluorobenzene","dodecane",0.7074,566.5
"m1323_hexafluorobenzene+dodecane","hexafluorobenzene+dodecane","hexafluorobenzene","dodecane",0.7243,564.7
"m1324_hexafluorobenzene+dodecane","hexafluorobenzene+dodecane","hexafluorobenzene","dodecane",0.7952,551.5
"m1325_hexafluorobenzene+dodecane","hexafluorobenzene+dodecane","hexafluorobenzene","dodecane",0.9538,524.8
"m1326_hexafluorobenzene+cyclopentane","hexafluorobenzene+cyclopentane","hexafluorobenzene","cyclopentane",0.065,508.2
"m1327_hexafluorobenzene+cyclopentane","hexafluorobenzene+cyclopentane","hexafluorobenzene","cyclopentane",0.18,503.2
"m1328_hexafluorobenzene+cyclopentane","hexafluorobenzene+cyclopentane","hexafluorobenzene","cyclopentane",0.28,502.7
"m1329_hexafluorobenzene+cyclopentane","hexafluorobenzene+cyclopentane","hexafluorobenzene","cyclopentane",0.47,500.7
"m1330_hexafluorobenzene+cyclopentane","hexafluorobenzene+cyclopentane","hexafluorobenzene","cyclopentane",0.64,505.2
"m1331_hexafluorobenzene+cyclopentane","hexafluorobenzene+cyclopentane","hexafluorobenzene","cyclopentane",0.801,510.4
"m1332_hexafluorobenzene+cyclohexane","hexafluorobenzene+cyclohexane","hexafluorobenzene","cyclohexane",0.1595,540.3
"m1333_hexafluorobenzene+cyclohexane","hexafluorobenzene+cyclohexane","hexafluorobenzene","cyclohexane",0.2049,535.8
"m1334_hexafluorobenzene+cyclohexane","hexafluorobenzene+cyclohexane","hexafluorobenzene","cyclohexane",0.2519,534.2
"m1335_hexafluorobenzene+cyclohexane","hexafluorobenzene+cyclohexane","hexafluorobenzene","cyclohexane",0.3723,526.4
"m1336_hexafluorobenzene+cyclohexane","hexafluorobenzene+cyclohexane","hexafluorobenzene","cyclohexane",0.5366,520.4
"m1337_hexafluorobenzene+cyclohexane","hexafluorobenzene+cyclohexane","hexafluorobenzene","cyclohexane",0.5495,518.5
"m1338_hexafluorobenzene+cyclohexane","hexafluorobenzene+cyclohexane","hexafluorobenzene","cyclohexane",0.6071,516.8
"m1339_hexafluorobenzene+cyclohexane","hexafluorobenzene+cyclohexane","hexafluorobenzene","cyclohexane",0.6488,516.2
"m1340_hexafluorobenzene+cyclohexane","hexafluorobenzene+cyclohexane","hexafluorobenzene","cyclohexane",0.6732,515.5
"m1341_hexafluorobenzene+cyclohexane","hexafluorobenzene+cyclohexane","hexafluorobenzene","cyclohexane",0.8002,514.7
"m1342_hexafluorobenzene+cyclohexane","hexafluorobenzene+cyclohexane","hexafluorobenzene","cyclohexane",0.8669,515.5
"m1343_hexafluorobenzene+cycloheptane","hexafluorobenzene+cycloheptane","hexafluorobenzene","cycloheptane",0.14,589.4
"m1344_hexafluorobenzene+cycloheptane","hexafluorobenzene+cycloheptane","hexafluorobenzene","cycloheptane",0.252,577.7
"m1345_hexafluorobenzene+cycloheptane","hexafluorobenzene+cycloheptane","hexafluorobenzene","cycloheptane",0.257,577.4
"m1346_hexafluorobenzene+cycloheptane","hexafluorobenzene+cycloheptane","hexafluorobenzene","cycloheptane",0.452,554.7
"m1347_hexafluorobenzene+cycloheptane","hexafluorobenzene+cycloheptane","hexafluorobenzene","cycloheptane",0.531,546
"m1348_hexafluorobenzene+cycloheptane","hexafluorobenzene+cycloheptane","hexafluorobenzene","cycloheptane",0.692,531.7
"m1349_hexafluorobenzene+cycloheptane","hexafluorobenzene+cycloheptane","hexafluorobenzene","cycloheptane",0.813,524.7
"m1350_hexafluorobenzene+methylcyclohexane","hexafluorobenzene+methylcyclohexane","hexafluorobenzene","methylcyclohexane",0.1455,562.7
"m1351_hexafluorobenzene+methylcyclohexane","hexafluorobenzene+methylcyclohexane","hexafluorobenzene","methylcyclohexane",0.3083,550.3
"m1352_hexafluorobenzene+methylcyclohexane","hexafluorobenzene+methylcyclohexane","hexafluorobenzene","methylcyclohexane",0.5435,533.7
"m1353_hexafluorobenzene+methylcyclohexane","hexafluorobenzene+methylcyclohexane","hexafluorobenzene","methylcyclohexane",0.6258,528.7
"m1354_hexafluorobenzene+methylcyclohexane","hexafluorobenzene+methylcyclohexane","hexafluorobenzene","methylcyclohexane",0.6731,525.2
"m1355_hexafluorobenzene+methylcyclohexane","hexafluorobenzene+methylcyclohexane","hexafluorobenzene","methylcyclohexane",0.8035,520.7
"m1356_hexafluorobenzene+methylcyclohexane","hexafluorobenzene+methylcyclohexane","hexafluorobenzene","methylcyclohexane",0.9218,518.7
"m1357_hexafluorobenzene+benzene","hexafluorobenzene+benzene","hexafluorobenzene","benzene",0.2229,542.7
"m1358_hexafluorobenzene+benzene","hexafluorobenzene+benzene","hexafluorobenzene","benzene",0.4055,532.7
"m1359_hexafluorobenzene+benzene","hexafluorobenzene+benzene","hexafluorobenzene","benzene",0.4815,528.9
"m1360_hexafluorobenzene+benzene","hexafluorobenzene+benzene","hexafluorobenzene","benzene",0.5971,525.7
"m1361_hexafluorobenzene+benzene","hexafluorobenzene+benzene","hexafluorobenzene","benzene",0.6686,523.5
"m1362_hexafluorobenzene+benzene","hexafluorobenzene+benzene","hexafluorobenzene","benzene",0.7743,520.6
"m1363_hexafluorobenzene+benzene","hexafluorobenzene+benzene","hexafluorobenzene","benzene",0.7932,520.5
"m1364_hexafluorobenzene+benzene","hexafluorobenzene+benzene","hexafluorobenzene","benzene",0.8814,518.3
"m1365_hexafluorobenzene+toluene","hexafluorobenzene+toluene","hexafluorobenzene","toluene",0.1095,580.7
"m1366_hexafluorobenzene+toluene","hexafluorobenzene+toluene","hexafluorobenzene","toluene",0.1145,579.9
"m1367_hexafluorobenzene+toluene","hexafluorobenzene+toluene","hexafluorobenzene","toluene",0.2533,568.9
"m1368_hexafluorobenzene+toluene","hexafluorobenzene+toluene","hexafluorobenzene","toluene",0.3583,599.7
"m1369_hexafluorobenzene+toluene","hexafluorobenzene+toluene","hexafluorobenzene","toluene",0.5671,543.2
"m1370_hexafluorobenzene+toluene","hexafluorobenzene+toluene","hexafluorobenzene","toluene",0.782,529
"m1371_hexafluorobenzene+toluene","hexafluorobenzene+toluene","hexafluorobenzene","toluene",0.8398,525.7
"m1372_hexafluorobenzene+1,4-xylene","hexafluorobenzene+1,4-xylene","hexafluorobenzene","1,4-xylene",0.1046,605.7
"m1373_hexafluorobenzene+1,4-xylene","hexafluorobenzene+1,4-xylene","hexafluorobenzene","1,4-xylene",0.2516,590.7
"m1374_hexafluorobenzene+1,4-xylene","hexafluorobenzene+1,4-xylene","hexafluorobenzene","1,4-xylene",0.412,573.5
"m1375_hexafluorobenzene+1,4-xylene","hexafluorobenzene+1,4-xylene","hexafluorobenzene","1,4-xylene",0.5481,558.9
"m1376_hexafluorobenzene+1,4-xylene","hexafluorobenzene+1,4-xylene","hexafluorobenzene","1,4-xylene",0.582,554.6
"m1377_hexafluorobenzene+1,4-xylene","hexafluorobenzene+1,4-xylene","hexafluorobenzene","1,4-xylene",0.5849,554.2
"m1378_hexafluorobenzene+1,4-xylene","hexafluorobenzene+1,4-xylene","hexafluorobenzene","1,4-xylene",0.7968,533.7
"m1379_hexafluorobenzene+1,3,5-trimethylbenzene","hexafluorobenzene+1,3,5-trimethylbenzene","hexafluorobenzene","1,3,5-trimethylbenzene",0.1408,620.8
"m1380_hexafluorobenzene+1,3,5-trimethylbenzene","hexafluorobenzene+1,3,5-trimethylbenzene","hexafluorobenzene","1,3,5-trimethylbenzene",0.2715,605.9
"m1381_hexafluorobenzene+1,3,5-trimethylbenzene","hexafluorobenzene+1,3,5-trimethylbenzene","hexafluorobenzene","1,3,5-trimethylbenzene",0.4322,586.4
"m1382_hexafluorobenzene+1,3,5-trimethylbenzene","hexafluorobenzene+1,3,5-trimethylbenzene","hexafluorobenzene","1,3,5-trimethylbenzene",0.573,569.8
"m1383_hexafluorobenzene+1,3,5-trimethylbenzene","hexafluorobenzene+1,3,5-trimethylbenzene","hexafluorobenzene","1,3,5-trimethylbenzene",0.6774,556.7
"m1384_hexafluorobenzene+1,2,3,4,5-pentafluoro-6-(trifluoromethyl)benzene","hexafluorobenzene+1,2,3,4,5-pentafluoro-6-(trifluoromethyl)benzene","hexafluorobenzene","1,2,3,4,5-pentafluoro-6-(trifluoromethyl)benzene",0.24,531.9
"m1385_hexafluorobenzene+1,2,3,4,5-pentafluoro-6-(trifluoromethyl)benzene","hexafluorobenzene+1,2,3,4,5-pentafluoro-6-(trifluoromethyl)benzene","hexafluorobenzene","1,2,3,4,5-pentafluoro-6-(trifluoromethyl)benzene",0.3971,528.7
"m1386_hexafluorobenzene+1,2,3,4,5-pentafluoro-6-(trifluoromethyl)benzene","hexafluorobenzene+1,2,3,4,5-pentafluoro-6-(trifluoromethyl)benzene","hexafluorobenzene","1,2,3,4,5-pentafluoro-6-(trifluoromethyl)benzene",0.4152,528.2
"m1387_hexafluorobenzene+1,2,3,4,5-pentafluoro-6-(trifluoromethyl)benzene","hexafluorobenzene+1,2,3,4,5-pentafluoro-6-(trifluoromethyl)benzene","hexafluorobenzene","1,2,3,4,5-pentafluoro-6-(trifluoromethyl)benzene",0.6032,524.4
"m1388_hexafluorobenzene+1,2,3,4,5-pentafluoro-6-(trifluoromethyl)benzene","hexafluorobenzene+1,2,3,4,5-pentafluoro-6-(trifluoromethyl)benzene","hexafluorobenzene","1,2,3,4,5-pentafluoro-6-(trifluoromethyl)benzene",0.7245,520.5
"m1389_hexafluorobenzene+1,2,3,4,5-pentafluoro-6-(trifluoromethyl)benzene","hexafluorobenzene+1,2,3,4,5-pentafluoro-6-(trifluoromethyl)benzene","hexafluorobenzene","1,2,3,4,5-pentafluoro-6-(trifluoromethyl)benzene",0.8102,519.6
"m1390_hexadecafluoroheptane+ethane","hexadecafluoroheptane+ethane","hexadecafluoroheptane","ethane",0.109,338.89
"m1391_hexadecafluoroheptane+ethane","hexadecafluoroheptane+ethane","hexadecafluoroheptane","ethane",0.286,389.01
"m1392_hexadecafluoroheptane+ethane","hexadecafluoroheptane+ethane","hexadecafluoroheptane","ethane",0.479,420.33
"m1393_hexadecafluoroheptane+ethane","hexadecafluoroheptane+ethane","hexadecafluoroheptane","ethane",0.739,457.26
"m1394_hexadecafluoroheptane+ethane","hexadecafluoroheptane+ethane","hexadecafluoroheptane","ethane",0.897,468.94
"m1395_hexadecafluoroheptane+propane","hexadecafluoroheptane+propane","hexadecafluoroheptane","propane",0.092,468.09
"m1396_hexadecafluoroheptane+propane","hexadecafluoroheptane+propane","hexadecafluoroheptane","propane",0.191,394.23
"m1397_hexadecafluoroheptane+propane","hexadecafluoroheptane+propane","hexadecafluoroheptane","propane",0.28,404.62
"m1398_hexadecafluoroheptane+propane","hexadecafluoroheptane+propane","hexadecafluoroheptane","propane",0.485,430.91
"m1399_hexadecafluoroheptane+propane","hexadecafluoroheptane+propane","hexadecafluoroheptane","propane",0.688,450.41
"m1400_hexadecafluoroheptane+propane","hexadecafluoroheptane+propane","hexadecafluoroheptane","propane",0.906,468.09
"m1401_hexadecafluoroheptane+butane","hexadecafluoroheptane+butane","hexadecafluoroheptane","butane",0.084,420.8
"m1402_hexadecafluoroheptane+butane","hexadecafluoroheptane+butane","hexadecafluoroheptane","butane",0.323,428.26
"m1403_hexadecafluoroheptane+butane","hexadecafluoroheptane+butane","hexadecafluoroheptane","butane",0.538,444.21
"m1404_hexadecafluoroheptane+butane","hexadecafluoroheptane+butane","hexadecafluoroheptane","butane",0.691,455.57
"m1405_hexadecafluoroheptane+butane","hexadecafluoroheptane+butane","hexadecafluoroheptane","butane",0.87,467.26
"m1406_hexadecafluoroheptane+pentane","hexadecafluoroheptane+pentane","hexadecafluoroheptane","pentane",0.087,459.54
"m1407_hexadecafluoroheptane+pentane","hexadecafluoroheptane+pentane","hexadecafluoroheptane","pentane",0.223,452.09
"m1408_hexadecafluoroheptane+pentane","hexadecafluoroheptane+pentane","hexadecafluoroheptane","pentane",0.39,449.42
"m1409_hexadecafluoroheptane+pentane","hexadecafluoroheptane+pentane","hexadecafluoroheptane","pentane",0.465,451.36
"m1410_hexadecafluoroheptane+pentane","hexadecafluoroheptane+pentane","hexadecafluoroheptane","pentane",0.709,460.29
"m1411_hexadecafluoroheptane+hexane","hexadecafluoroheptane+hexane","hexadecafluoroheptane","hexane",0.096,493.42
"m1412_hexadecafluoroheptane+hexane","hexadecafluoroheptane+hexane","hexadecafluoroheptane","hexane",0.166,486.98
"m1413_hexadecafluoroheptane+hexane","hexadecafluoroheptane+hexane","hexadecafluoroheptane","hexane",0.338,472.67
"m1414_hexadecafluoroheptane+hexane","hexadecafluoroheptane+hexane","hexadecafluoroheptane","hexane",0.474,467.03
"m1415_hexadecafluoroheptane+hexane","hexadecafluoroheptane+hexane","hexadecafluoroheptane","hexane",0.621,464.74
"m1416_hexadecafluoroheptane+hexane","hexadecafluoroheptane+hexane","hexadecafluoroheptane","hexane",0.706,464.8
"m1417_hexadecafluoroheptane+hexane","hexadecafluoroheptane+hexane","hexadecafluoroheptane","hexane",0.87,467.28
"m1418_hexadecafluoroheptane+heptane","hexadecafluoroheptane+heptane","hexadecafluoroheptane","heptane",0.096,522.07
"m1419_hexadecafluoroheptane+heptane","hexadecafluoroheptane+heptane","hexadecafluoroheptane","heptane",0.53,478.5
"m1420_hexadecafluoroheptane+heptane","hexadecafluoroheptane+heptane","hexadecafluoroheptane","heptane",0.638,474.92
"m1421_hexadecafluoroheptane+heptane","hexadecafluoroheptane+heptane","hexadecafluoroheptane","heptane",0.768,472.93
"m1422_hexadecafluoroheptane+heptane","hexadecafluoroheptane+heptane","hexadecafluoroheptane","heptane",0.822,471.87
"m1423_hexadecafluoroheptane+heptane","hexadecafluoroheptane+heptane","hexadecafluoroheptane","heptane",0.857,471.68
"m1424_hexadecafluoroheptane+heptane","hexadecafluoroheptane+heptane","hexadecafluoroheptane","heptane",0.9,471.82
"m1425_hexadecafluoroheptane+octane","hexadecafluoroheptane+octane","hexadecafluoroheptane","octane",0.099,548.83
"m1426_hexadecafluoroheptane+octane","hexadecafluoroheptane+octane","hexadecafluoroheptane","octane",0.424,503.37
"m1427_hexadecafluoroheptane+octane","hexadecafluoroheptane+octane","hexadecafluoroheptane","octane",0.47,501.1
"m1428_hexadecafluoroheptane+octane","hexadecafluoroheptane+octane","hexadecafluoroheptane","octane",0.525,493.5
"m1429_hexadecafluoroheptane+octane","hexadecafluoroheptane+octane","hexadecafluoroheptane","octane",0.724,482.28
"m1430_hexadecafluoroheptane+octane","hexadecafluoroheptane+octane","hexadecafluoroheptane","octane",0.946,475.79
"m1431_hexadecafluoroheptane+nonane","hexadecafluoroheptane+nonane","hexadecafluoroheptane","nonane",0.157,564.66
"m1432_hexadecafluoroheptane+nonane","hexadecafluoroheptane+nonane","hexadecafluoroheptane","nonane",0.263,538.89
"m1433_hexadecafluoroheptane+nonane","hexadecafluoroheptane+nonane","hexadecafluoroheptane","nonane",0.471,516.42
"m1434_hexadecafluoroheptane+nonane","hexadecafluoroheptane+nonane","hexadecafluoroheptane","nonane",0.652,502.12
"m1435_hexadecafluoroheptane+nonane","hexadecafluoroheptane+nonane","hexadecafluoroheptane","nonane",0.868,484.32
"m1436_tetrafluoromethane+trifluoromethane","tetrafluoromethane+trifluoromethane","tetrafluoromethane","trifluoromethane",0.21,283.2
"m1437_tetrafluoromethane+trifluoromethane","tetrafluoromethane+trifluoromethane","tetrafluoromethane","trifluoromethane",0.51,255.4
"m1438_ethene+ethanol","ethene+ethanol","ethene","ethanol",0.175,493.15
"m1439_ethene+ethanol","ethene+ethanol","ethene","ethanol",0.3,473.15
"m1440_ethene+ethanol","ethene+ethanol","ethene","ethanol",0.35,463.15
"m1441_ethene+ethanol","ethene+ethanol","ethene","ethanol",0.44,443.15
"m1442_ethene+ethanol","ethene+ethanol","ethene","ethanol",0.575,423.15
"m1443_benzene+methanol","benzene+methanol","benzene","methanol",0.1064,511.09
"m1444_benzene+methanol","benzene+methanol","benzene","methanol",0.3056,515.59
"m1445_benzene+methanol","benzene+methanol","benzene","methanol",0.4946,525.74
"m1446_benzene+methanol","benzene+methanol","benzene","methanol",0.6894,539.75
"m1447_benzene+methanol","benzene+methanol","benzene","methanol",0.8894,554.14
"m1448_benzene+methanol","benzene+methanol","benzene","methanol",0.25,515.4
"m1449_benzene+methanol","benzene+methanol","benzene","methanol",0.5,517.6
"m1450_benzene+methanol","benzene+methanol","benzene","methanol",0.75,522
"m1451_benzene+methanol","benzene+methanol","benzene","methanol",0.0436,511.28
"m1452_benzene+methanol","benzene+methanol","benzene","methanol",0.076,511.2
"m1453_benzene+methanol","benzene+methanol","benzene","methanol",0.2147,512.7
"m1454_benzene+methanol","benzene+methanol","benzene","methanol",0.3809,517.9
"m1455_benzene+methanol","benzene+methanol","benzene","methanol",0.6213,532.2
"m1456_benzene+methanol","benzene+methanol","benzene","methanol",0.0436,512.15
"m1457_benzene+methanol","benzene+methanol","benzene","methanol",0.1203,511.15
"m1458_benzene+methanol","benzene+methanol","benzene","methanol",0.2909,514.65
"m1459_benzene+methanol","benzene+methanol","benzene","methanol",0.5104,525.65
"m1460_benzene+methanol","benzene+methanol","benzene","methanol",0.7869,545.65
"m1461_benzene+methanol","benzene+methanol","benzene","methanol",0.0941,511.2
"m1462_benzene+methanol","benzene+methanol","benzene","methanol",0.2147,513.2
"m1463_benzene+methanol","benzene+methanol","benzene","methanol",0.3809,519.6
"m1464_benzene+methanol","benzene+methanol","benzene","methanol",0.6213,533.8
"m1465_benzene+ethanol","benzene+ethanol","benzene","ethanol",0.014,514.03
"m1466_benzene+ethanol","benzene+ethanol","benzene","ethanol",0.059,514.31
"m1467_benzene+ethanol","benzene+ethanol","benzene","ethanol",0.11,514.86
"m1468_benzene+ethanol","benzene+ethanol","benzene","ethanol",0.3068,519.55
"m1469_benzene+ethanol","benzene+ethanol","benzene","ethanol",0.5046,528.71
"m1470_benzene+ethanol","benzene+ethanol","benzene","ethanol",0.6975,540.46
"m1471_benzene+ethanol","benzene+ethanol","benzene","ethanol",0.875,553.13
"m1472_benzene+ethanol","benzene+ethanol","benzene","ethanol",0.25,521.5
"m1473_benzene+ethanol","benzene+ethanol","benzene","ethanol",0.5,520.9
"m1474_benzene+ethanol","benzene+ethanol","benzene","ethanol",0.75,534.3
"m1475_benzene+ethanol","benzene+ethanol","benzene","ethanol",0.499,531.4
"m1476_benzene+ethanol","benzene+ethanol","benzene","ethanol",0.4997,531.4
"m1477_benzene+ethanol","benzene+ethanol","benzene","ethanol",0.5005,531.4
"m1478_benzene+ethanol","benzene+ethanol","benzene","ethanol",0.25,523
"m1479_benzene+ethanol","benzene+ethanol","benzene","ethanol",0.5,533
"m1480_benzene+ethanol","benzene+ethanol","benzene","ethanol",0.75,547
"m1481_benzene+propan-1-ol","benzene+propan-1-ol","benzene","propan-1-ol",0.0152,536.62
"m1482_benzene+propan-1-ol","benzene+propan-1-ol","benzene","propan-1-ol",0.0619,536.57
"m1483_benzene+propan-1-ol","benzene+propan-1-ol","benzene","propan-1-ol",0.1106,536.6
"m1484_benzene+propan-1-ol","benzene+propan-1-ol","benzene","propan-1-ol",0.3088,537.9
"m1485_benzene+propan-1-ol","benzene+propan-1-ol","benzene","propan-1-ol",0.5037,541.79
"m1486_benzene+propan-1-ol","benzene+propan-1-ol","benzene","propan-1-ol",0.7016,548.07
"m1487_benzene+propan-1-ol","benzene+propan-1-ol","benzene","propan-1-ol",0.899,556.71
"m1488_benzene+propan-1-ol","benzene+propan-1-ol","benzene","propan-1-ol",0.25,477.6
"m1489_benzene+propan-1-ol","benzene+propan-1-ol","benzene","propan-1-ol",0.48,477
"m1490_benzene+propan-2-ol","benzene+propan-2-ol","benzene","propan-2-ol",0.049,509.85
"m1491_benzene+propan-2-ol","benzene+propan-2-ol","benzene","propan-2-ol",0.187,514.05
"m1492_benzene+propan-2-ol","benzene+propan-2-ol","benzene","propan-2-ol",0.376,522.15
"m1493_benzene+propan-2-ol","benzene+propan-2-ol","benzene","propan-2-ol",0.698,540.65
"m1494_benzene+butan-1-ol","benzene+butan-1-ol","benzene","butan-1-ol",0.1123,560.79
"m1495_benzene+butan-1-ol","benzene+butan-1-ol","benzene","butan-1-ol",0.3081,558.22
"m1496_benzene+butan-1-ol","benzene+butan-1-ol","benzene","butan-1-ol",0.5046,556.89
"m1497_benzene+butan-1-ol","benzene+butan-1-ol","benzene","butan-1-ol",0.5729,556.79
"m1498_benzene+butan-1-ol","benzene+butan-1-ol","benzene","butan-1-ol",0.7019,557.29
"m1499_benzene+butan-1-ol","benzene+butan-1-ol","benzene","butan-1-ol",0.8986,559.92
"m1500_benzene+butan-2-ol","benzene+butan-2-ol","benzene","butan-2-ol",0.065,549.15
"m1501_benzene+butan-2-ol","benzene+butan-2-ol","benzene","butan-2-ol",0.205,548.45
"m1502_benzene+butan-2-ol","benzene+butan-2-ol","benzene","butan-2-ol",0.359,548.45
"m1503_benzene+butan-2-ol","benzene+butan-2-ol","benzene","butan-2-ol",0.792,555
"m1504_benzene+butan-2-ol","benzene+butan-2-ol","benzene","butan-2-ol",0.928,559.6
"m1505_benzene+pentan-2-ol","benzene+pentan-2-ol","benzene","pentan-2-ol",0.258,572.85
"m1506_benzene+pentan-2-ol","benzene+pentan-2-ol","benzene","pentan-2-ol",0.399,568.85
"m1507_benzene+pentan-2-ol","benzene+pentan-2-ol","benzene","pentan-2-ol",0.638,563.8
"m1508_benzene+pentan-2-ol","benzene+pentan-2-ol","benzene","pentan-2-ol",0.771,562.15
"m1509_benzene+pentan-2-ol","benzene+pentan-2-ol","benzene","pentan-2-ol",0.862,560.95
"m1510_benzene+pentan-2-ol","benzene+pentan-2-ol","benzene","pentan-2-ol",0.972,561.1
"m1511_pentane+ethanol","pentane+ethanol","pentane","ethanol",0.25,495.37
